Start_Code,Last_Name,First_Name,Race_No,Club_Name,Cat_Code,YOB,Race_Time,Status,Event_Rank,Cat_Rank
HC00,Fernsby,Justin,1011,Power Cycles,C7,1965,01:30:56,FIN,230,61
HC04,Battersby,Josh,1012,Tawara Bike Buddies,C5,1996,01:23:37,FIN,78,46
HC08,Bickham,Niels,1013,Team Superpowered Rollers,C7,1957,01:27:40,FIN,178,56
HC00,Hales,Andy,1016,Independent,C5,1974,01:37:02,FIN,326,204
HC01,Ellis,Jamie,1017,Cyclemeisters,C5,1990,01:24:04,FIN,89,53
HC04,Williams,Magnus,1019,Velocity Cycling,C5,2000,01:21:41,FIN,33,17
HC00,Bagley,Ken,1021,Mandras Flyers,C7,1959,01:19:47,FIN,6,4
HC02,Hebb,Brent,1022,Synergy Racing,C5,1993,00:30:05,DNF,0,0
HC01,Downie,Eugene,1023,Independent,C5,1989,01:48:56,FIN,381,247
HC06,Blackett,David,1024,Trail Blazers,C5,1978,01:24:30,FIN,104,60
HC02,Gilbertson,Cody,1025,Hardcore Cycling ,C5,1993,00:38:24,DNF,0,0
HC10,Hutchinson,Sinead,1026,Velocity Cycling,C6,1997,01:20:54,FIN,17,9
HC05,Glanzing,Hamza,1027,Dirt Busters,C5,1992,01:24:41,FIN,111,64
HC08,Fergusson,Jennifer,1028,Independent,C6,1979,01:29:42,FIN,212,114
HC02,Weir,Luke,1029,Independent,C5,2000,01:23:30,FIN,74,42
HC07,Sadler,Duncan,1031,Mud and Gears,C5,1995,01:39:13,FIN,344,218
HC03,Falkenberg,William,1032,Independent,C1,2007,01:29:46,FIN,213,8
HC04,Langille,Zander,1033,Tawara Bike Buddies,C5,2000,01:23:38,FIN,79,47
HC03,Ferris,Hudson,1034,Tawara Bike Buddies,C5,1992,01:42:30,FIN,364,233
HC10,Soars,Maddox,1035,Tawara Bike Buddies,C5,1990,01:23:01,FIN,62,33
HC01,Popovic,Danielle,1036,Redbike Rollers,C10,1952,01:25:16,FIN,124,6
HC00,Makela,Xavier,1037,Trail Blazers,C5,1998,01:39:48,FIN,346,220
HC04,Becker,Derek,1038,Trail Blazers,C5,1989,01:34:29,FIN,292,178
HC10,Diehl,Darcy,1039,Kernow Pedallers,C5,1996,01:36:55,FIN,323,202
HC04,Villeneuve,Preston,1040,Independent,C5,1984,01:34:26,FIN,291,177
HC07,Springall,Brennon,1041,Flying Cyclops,C7,1960,01:24:49,FIN,115,35
HC00,Fogg,Montgomery,1042,Mountain Kings,C5,1996,00:00:00,DNS,0,0
HC10,Ince,Darrell,1043,Kernow Pedallers,C5,1979,01:26:19,FIN,149,84
HC07,Linley,Athena,1047,Empowerment Racing,C6,1997,01:32:29,FIN,256,151
HC01,Warburton,Finnegan,1050,Trail Blazers,C5,1998,01:29:58,FIN,220,120
HC06,Sharpe,Larry,1053,Independent,C5,1992,02:03:25,FIN,389,255
HC00,Wilson,Kristin,1054,Flying Cyclops,C6,1974,01:38:55,FIN,340,215
HC04,Lockerbie,Devin,1058,Velocity Cycling,C7,1959,01:25:35,FIN,130,40
HC07,Trussler,Ferdinand,1060,Hardcore Cycling ,C5,1998,01:42:28,FIN,363,232
HC03,Fox,Edward,1061,Mud and Gears,C5,1995,01:26:23,FIN,151,85
HC02,Gaucher,Cory,1063,Flying Cyclops,C5,2000,01:35:12,FIN,300,185
HC09,Enevoldsen,Jessica,1065,Mountain Kings,C8,1954,01:22:31,FIN,51,19
HC06,Hatch,Bailey,1067,Independent,C5,1981,01:33:18,FIN,272,162
HC06,Jacobson,Finlay,1069,Mountain Kings,C5,1993,01:27:36,FIN,177,100
HC10,Rockwell,Connor,1070,Mandras Flyers,C5,2000,01:30:00,FIN,222,122
